Disaggregation,Number of indicators,Number of values
Abfallart,1,13
Abschlussart nach Nationalität,1,12
Alleinerziehende,1,2
Anlagenart,1,8
Art der Diskriminierung,1,8
Ausgleichsflächen,1,3
Badesee,1,2
Beschäftigtenquote,1,4
Beteiligungsart,1,10
Bezirk,1,13
Bio-Lebensmittel,1,2
Breitbandversorgung,1,3
Einrichtung,2,5
Empfänger/-innen SGB II,1,5
Flächen,1,2
Flächenart,3,3
Frauenanteil,1,1
Förderart,1,7
Geschlecht / Herkunft,2,4
Geschlecht,2,3
Haltestellen,1,4
Herkunft,3,5
Kanalsystem,1,2
kWp,1,3
Ladesäule,1,3
Langzeitleistungsbezieher und Langzeitarbeitslos,1,4
Luftschadstoff,1,3
Lärmbelastete Fläche,1,3
Naherholungsflächen,1,2
Neue Wohngebäude,1,7
Offene Arbeits- oder Berufsausbildungsstellen,1,9
Pflegeplatzart,1,2
Präventionsart,1,5
Region,5,4
sanitäre Einrichtungen,1,2
Schulart,1,4
Sektoren,1,6
Sozial geförderter Wohnraum,1,2
Unterbringung,1,3
Verwertungsquoten Deutschland,1,2
Wohnungen,1,2
Zertifizierung,1,1
Zertifizierungsart,1,2
Zuganspunkte,1,2
